,dataset,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,test_accuracy,test_AUC
0,auslan2,"[20, 30, 40]",3,False,-1.0,3,8,0.63,0.8800925925925925
1,auslan2,"[20, 30, 40]",3,False,2.0,3,8,0.55,0.8780092592592592
2,auslan2,"[20, 30, 40]",3,False,4.0,3,8,0.575,0.8780092592592592
3,auslan2,"[20, 30, 40]",3,False,8.0,3,8,0.62,0.8800925925925925
4,auslan2,"[20, 30, 40]",3,False,16.0,3,8,0.63,0.8800925925925925
5,auslan2,"[20, 30, 40]",3,False,32.0,3,8,0.63,0.8800925925925925
6,blocks,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
7,blocks,"[20, 30, 40]",3,False,2.0,3,8,1.0,1.0
8,blocks,"[20, 30, 40]",3,False,4.0,3,8,1.0,1.0
9,blocks,"[20, 30, 40]",3,False,8.0,3,8,1.0,1.0
10,blocks,"[20, 30, 40]",3,False,16.0,3,8,1.0,1.0
11,blocks,"[20, 30, 40]",3,False,32.0,3,8,1.0,1.0
12,context,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
13,context,"[20, 30, 40]",3,False,2.0,3,8,0.9791666666666669,1.0
14,context,"[20, 30, 40]",3,False,4.0,3,8,1.0,1.0
15,context,"[20, 30, 40]",3,False,8.0,3,8,1.0,1.0
16,context,"[20, 30, 40]",3,False,16.0,3,8,1.0,1.0
17,context,"[20, 30, 40]",3,False,32.0,3,8,1.0,1.0
18,hepatitis,"[20, 30, 40]",3,False,-1.0,3,8,0.9156734693877552,0.9084149681768382
19,hepatitis,"[20, 30, 40]",3,False,2.0,3,8,0.8200000000000001,0.8029967159277505
20,hepatitis,"[20, 30, 40]",3,False,4.0,3,8,0.84,0.8271141215106732
21,hepatitis,"[20, 30, 40]",3,False,8.0,3,8,0.86,0.8416666666666668
22,hepatitis,"[20, 30, 40]",3,False,16.0,3,8,0.86,0.8428126768534239
23,hepatitis,"[20, 30, 40]",3,False,32.0,3,8,0.9096734693877552,0.901021484467565
24,pioneer,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
25,pioneer,"[20, 30, 40]",3,False,2.0,3,8,0.875,0.9863888888888888
26,pioneer,"[20, 30, 40]",3,False,4.0,3,8,0.875,0.9883333333333332
27,pioneer,"[20, 30, 40]",3,False,8.0,3,8,0.90625,1.0
28,pioneer,"[20, 30, 40]",3,False,16.0,3,8,0.9375,1.0
29,pioneer,"[20, 30, 40]",3,False,32.0,3,8,0.99375,1.0
30,skating,"[20, 30, 40]",3,False,-1.0,3,8,0.9924528301886792,0.9995864489046308
31,skating,"[20, 30, 40]",3,False,2.0,3,8,0.9622641509433962,0.9989654195011336
32,skating,"[20, 30, 40]",3,False,4.0,3,8,0.9716981132075472,0.9992487373737372
33,skating,"[20, 30, 40]",3,False,8.0,3,8,0.981132075471698,0.9995864489046308
34,skating,"[20, 30, 40]",3,False,16.0,3,8,0.981132075471698,0.9995864489046308
35,skating,"[20, 30, 40]",3,False,32.0,3,8,0.9924528301886792,0.9997192411124228
